,REFTYPE,SESSION_IDENTIFIER,FRAME,WORLDPOSX,WORLDPOSY,WORLDPOSZ
0,LEFT,18118509207215334066,2710,425.3515930175781,-794.2281494140625,3.507232904434204
1,LEFT,18118509207215334066,3248,15.772991180419922,-800.3424072265625,3.837769746780396
2,LEFT,18118509207215334066,3249,14.595508575439451,-799.7177124023438,3.83648681640625
3,LEFT,18118509207215334066,3266,1.297103762626648,-791.8472900390625,3.815994024276733
4,LEFT,18118509207215334066,3269,-0.4109441637992859,-790.7327270507812,3.810157060623169
5,LEFT,18118509207215334066,4131,-236.0058135986328,207.68081665039065,3.4372475147247314
6,LEFT,18118509207215334066,4133,-237.24365234375,208.6932678222656,3.431056022644043
7,LEFT,18118509207215334066,4185,-261.1637878417969,227.3409881591797,3.321453809738159
8,LEFT,18118509207215334066,2014,734.056396484375,-409.8250122070313,3.3395028114318848
9,LEFT,18118509207215334066,2017,732.9558715820312,-410.8085632324219,3.3394386768341064
10,LEFT,18118509207215334066,2018,732.4471435546875,-411.2288208007813,3.339342832565308
11,LEFT,18118509207215334066,2019,732.0586547851562,-411.5361022949219,3.3388288021087646
12,LEFT,18118509207215334066,2020,731.5344848632812,-411.9322204589844,3.338178396224976
13,LEFT,18118509207215334066,2026,729.2412109375,-413.4249877929688,3.336012840270996
14,LEFT,18118509207215334066,2028,728.2757568359375,-413.9478454589844,3.335270881652832
15,LEFT,18118509207215334066,2030,727.4376220703125,-414.3560791015625,3.335563898086548
16,LEFT,18118509207215334066,2036,724.9736938476562,-415.3609619140625,3.335678577423096
17,LEFT,18118509207215334066,2037,724.5193481445312,-415.52056884765625,3.3361480236053467
18,LEFT,18118509207215334066,2039,723.4313354492188,-415.8783264160156,3.336479425430298
19,LEFT,18118509207215334066,2686,449.5758666992188,-783.200439453125,3.6187002658844
20,LEFT,18118509207215334066,2692,444.2619018554688,-785.7960205078125,3.592458486557007
21,LEFT,18118509207215334066,2694,442.0291748046875,-786.8499145507812,3.577692031860352
22,LEFT,18118509207215334066,2696,439.7717895507813,-787.8977661132812,3.5721659660339355
23,LEFT,18118509207215334066,2697,438.7952575683594,-788.3469848632812,3.5720176696777344
24,LEFT,18118509207215334066,2699,436.8307495117188,-789.2415161132812,3.570429563522339
25,LEFT,18118509207215334066,2702,434.5154113769531,-790.2797241210938,3.559670925140381
26,LEFT,18118509207215334066,2703,433.5162658691406,-790.7230834960938,3.5533599853515625
27,LEFT,18118509207215334066,2705,431.1656799316406,-791.7540893554688,3.537139892578125
28,LEFT,18118509207215334066,2709,426.3853149414063,-793.7945556640625,3.5116865634918213
29,LEFT,18118509207215334066,4186,-261.80401611328125,227.71527099609372,3.318626642227173
30,LEFT,18118509207215334066,126,-480.7463989257813,863.3715209960938,2.747986078262329
31,LEFT,18118509207215334066,127,-479.224853515625,862.6495971679688,2.7406952381134038
32,LEFT,18118509207215334066,129,-476.2229614257813,861.1243896484375,2.7271177768707275
33,LEFT,18118509207215334066,133,-471.8175659179688,858.6309204101562,2.7123420238494877
34,LEFT,18118509207215334066,134,-469.8993225097656,857.4463500976562,2.70751690864563
35,LEFT,18118509207215334066,710,-34.11115264892578,611.76708984375,3.169825553894043
36,LEFT,18118509207215334066,712,-33.04983901977539,610.75341796875,3.1778011322021484
37,LEFT,18118509207215334066,135,-468.4762573242188,856.5272827148438,2.704559564590454
38,LEFT,18118509207215334066,139,-461.996826171875,851.8871459960938,2.700213670730591
39,LEFT,18118509207215334066,141,-458.8426818847656,849.3421630859375,2.7026407718658447
40,LEFT,18118509207215334066,148,-450.56939697265625,841.6953125,2.725275754928589
41,LEFT,18118509207215334066,153,-445.1174621582031,835.8592529296875,2.7462964057922363
42,LEFT,18118509207215334066,154,-443.4722595214844,833.9646606445312,2.749505043029785
43,LEFT,18118509207215334066,706,-38.69980239868164,616.1502685546875,3.1596693992614746
44,LEFT,18118509207215334066,899,155.77452087402344,428.919189453125,2.7538371086120605
45,LEFT,18118509207215334066,2354,604.7118530273438,-525.8092651367188,3.328340530395508
46,LEFT,18118509207215334066,2355,604.8065795898438,-527.3834838867188,3.348328113555908
47,LEFT,18118509207215334066,2367,605.6049194335938,-541.4573364257812,3.530234098434448
48,LEFT,18118509207215334066,2368,605.6869506835938,-542.9945678710938,3.54697585105896
49,LEFT,18118509207215334066,2373,605.9743041992188,-548.3046875,3.5939834117889404
50,LEFT,18118509207215334066,2386,606.7705078125,-562.2186889648438,3.67315411567688
51,LEFT,18118509207215334066,2398,607.5294799804688,-574.7940673828125,3.742477178573608
52,LEFT,18118509207215334066,2401,607.7247924804688,-578.2305908203125,3.778802394866944
53,LEFT,18118509207215334066,2405,607.9201049804688,-581.7116088867188,3.786203622817993
54,LEFT,18118509207215334066,2937,224.1327972412109,-879.562255859375,3.3529553413391118
55,LEFT,18118509207215334066,2939,223.0699615478516,-878.9663696289062,3.3578109741210938
56,LEFT,18118509207215334066,2940,222.62521362304688,-878.6990356445312,3.3604421615600586
57,LEFT,18118509207215334066,2944,220.64334106445312,-877.3624877929688,3.3774988651275635
58,LEFT,18118509207215334066,2945,220.24020385742188,-877.0584106445312,3.3801770210266118
59,LEFT,18118509207215334066,2947,219.32699584960935,-876.3245239257812,3.3842267990112305
60,LEFT,18118509207215334066,2948,218.94790649414065,-876.0000610351562,3.38579535484314
61,LEFT,18118509207215334066,2950,218.0891571044922,-875.220703125,3.387113571166992
62,LEFT,18118509207215334066,2951,217.73016357421875,-874.8754272460938,3.387164831161499
63,LEFT,18118509207215334066,2953,216.91278076171875,-874.0484619140625,3.387012481689453
